,Time,BUT,DMA
314,3.1500000000000005e-10,1.8352828643049966e-15,1.0327736346828412e-15
315,3.1600000000000005e-10,1.801836616208609e-15,1.0517038467226762e-15
316,3.1700000000000004e-10,1.863076429108845e-15,1.041425987415586e-15
317,3.1800000000000004e-10,1.8924861835766934e-15,1.0020198179224803e-15
318,3.1900000000000004e-10,1.8832057908933464e-15,9.699087480484248e-16
319,3.2000000000000003e-10,1.8589310219210308e-15,9.99057220022846e-16
320,3.2100000000000003e-10,1.800415659199642e-15,9.989066307785135e-16
321,3.22e-10,1.7902855977366825e-15,1.0247659532010895e-15
322,3.23e-10,1.8083555374785908e-15,1.0655546083217198e-15
323,3.24e-10,1.7344384653256594e-15,1.0383204019648003e-15
324,3.25e-10,1.749092386483481e-15,1.043990915702918e-15
325,3.26e-10,1.6905252340592261e-15,1.0213228359531472e-15
326,3.27e-10,1.7402184392794324e-15,9.989495583967e-16
327,3.28e-10,1.7171988165657562e-15,1.0225177148261825e-15
328,3.29e-10,1.797647089467908e-15,1.0157084586645326e-15
329,3.3000000000000005e-10,1.816168162769784e-15,1.0641285305052152e-15
330,3.3100000000000005e-10,1.7220470012529123e-15,1.0084054105138545e-15
331,3.3200000000000004e-10,1.797081511333796e-15,1.0039898050688212e-15
332,3.3300000000000004e-10,1.7765303557998825e-15,9.767966082814425e-16
333,3.3400000000000004e-10,1.7715208204403809e-15,9.767203348991743e-16
334,3.3500000000000003e-10,1.861741898020632e-15,9.899543788213744e-16
335,3.3600000000000003e-10,1.7726490373487494e-15,9.632334571127263e-16
336,3.37e-10,1.809390921532736e-15,1.0270473942412579e-15
337,3.38e-10,1.860522757733434e-15,1.0695724385209843e-15
338,3.39e-10,1.7401367687064514e-15,1.0540862009733816e-15
339,3.4e-10,1.8004396878110855e-15,1.0856888693942768e-15
340,3.41e-10,1.7706660294998184e-15,1.0243357140429293e-15
341,3.42e-10,1.800795785915365e-15,1.1154903774863577e-15
342,3.43e-10,1.833692314648903e-15,1.0955475670643666e-15
343,3.44e-10,1.7439896245452257e-15,1.0515911198878646e-15
344,3.4500000000000005e-10,1.7127483742220015e-15,1.0660290794214258e-15
345,3.4600000000000005e-10,1.7679854945143831e-15,1.0565920647619799e-15
346,3.4700000000000004e-10,1.7276037054368813e-15,1.034720921955211e-15
347,3.4800000000000004e-10,1.7937501910361794e-15,1.0241729464805573e-15
348,3.4900000000000004e-10,1.8299079138783303e-15,1.0798814326691168e-15
349,3.5000000000000003e-10,1.8032840418533167e-15,1.1123025463765215e-15
350,3.5100000000000003e-10,1.803044933351584e-15,1.0839683168715704e-15
351,3.52e-10,1.810935304979441e-15,1.1067317401951577e-15
352,3.53e-10,1.892052797166856e-15,1.1117734057007052e-15
353,3.54e-10,1.8440314972320688e-15,1.1040356455367545e-15
354,3.55e-10,1.8627374131337535e-15,1.1542229967788682e-15
355,3.56e-10,1.8446675178622304e-15,1.099640798775531e-15
356,3.57e-10,1.8958462536795286e-15,1.1253454497228484e-15
357,3.58e-10,1.7621119307985747e-15,1.1666790718286571e-15
358,3.5900000000000005e-10,1.8444110588897498e-15,1.0942795264770641e-15
359,3.6000000000000005e-10,1.8465666842452433e-15,1.1309782081676728e-15
360,3.6100000000000005e-10,1.8533946233663186e-15,1.1243686368833043e-15
361,3.6200000000000004e-10,1.812616728609563e-15,1.1382575687599697e-15
362,3.6300000000000004e-10,1.9124880985782557e-15,1.1439535153592395e-15
363,3.6400000000000004e-10,1.8504725193601555e-15,1.105723301368351e-15
364,3.6500000000000003e-10,1.890455950983155e-15,1.1333726769638197e-15
365,3.6600000000000003e-10,1.815908727687403e-15,1.1207253276635273e-15
366,3.67e-10,1.8493764272047826e-15,1.1275081092384205e-15
367,3.68e-10,1.8429749422185955e-15,1.1340131385571017e-15
368,3.69e-10,1.864350474770345e-15,1.1295342226071568e-15
369,3.7e-10,1.8838625137190687e-15,1.0913493106761027e-15
370,3.71e-10,1.9026098267414594e-15,1.1466997508057716e-15
371,3.72e-10,1.9048189498632055e-15,1.1286940592045599e-15
372,3.73e-10,1.834269081313177e-15,1.1531325748291659e-15
373,3.7400000000000005e-10,1.917364419822159e-15,1.1510335695428906e-15
374,3.7500000000000005e-10,1.874706517091914e-15,1.1073582311334066e-15
