,Time,BUT,OCM
223,2.2400000000000003e-10,1.567796512053872e-16,7.754341576212499e-17
224,2.2500000000000002e-10,1.5189080203359217e-16,7.794590972452091e-17
225,2.2600000000000002e-10,1.6185359100512488e-16,7.94982842923105e-17
226,2.2700000000000002e-10,1.588463834904701e-16,7.91092874946172e-17
227,2.2800000000000001e-10,1.67484313666432e-16,7.698113294608316e-17
228,2.29e-10,1.6298317666005055e-16,8.071923864514946e-17
229,2.3e-10,1.6032363866454947e-16,8.131310292894188e-17
230,2.3100000000000003e-10,1.5918663606328806e-16,8.260368465672092e-17
231,2.3200000000000003e-10,1.601430414757689e-16,8.116970953605528e-17
232,2.33e-10,1.6068879459361404e-16,7.695590251514879e-17
233,2.34e-10,1.5695570790762366e-16,8.032430670499168e-17
234,2.35e-10,1.5661604125291348e-16,8.15697195633472e-17
235,2.36e-10,1.5326312767580485e-16,7.939201046818757e-17
236,2.37e-10,1.5705050991086697e-16,8.25977404008415e-17
237,2.38e-10,1.720985566239299e-16,7.905865547960797e-17
238,2.39e-10,1.6165907314669298e-16,8.098860437083941e-17
239,2.4e-10,1.663181237859219e-16,8.112145213084958e-17
240,2.41e-10,1.5889990910447265e-16,7.980059882594514e-17
241,2.4200000000000004e-10,1.524009501946815e-16,8.043858199228942e-17
242,2.4300000000000004e-10,1.6452333425912947e-16,7.78923076348738e-17
243,2.4400000000000004e-10,1.5449793833395165e-16,7.88224485276928e-17
244,2.4500000000000003e-10,1.5141708584969072e-16,8.144788524057004e-17
245,2.4600000000000003e-10,1.6403979043847111e-16,8.12633042791777e-17
246,2.4700000000000003e-10,1.5696274611622469e-16,8.305008296884391e-17
247,2.48e-10,1.562199814766921e-16,7.963361217136785e-17
248,2.49e-10,1.6765133547881873e-16,8.397334136207701e-17
249,2.5e-10,1.6143528554940573e-16,7.503059066244989e-17
250,2.51e-10,1.566255341035153e-16,8.036657691594939e-17
251,2.52e-10,1.505900957762194e-16,7.896575564717742e-17
252,2.53e-10,1.5518764667996587e-16,8.038987655187478e-17
253,2.54e-10,1.61136674962087e-16,7.885154629694654e-17
254,2.55e-10,1.5867656106063606e-16,7.997544740973849e-17
255,2.56e-10,1.5796275373350823e-16,7.797628913981538e-17
256,2.5700000000000004e-10,1.5768426670489748e-16,7.858665334988341e-17
257,2.5800000000000004e-10,1.557413091824471e-16,7.399570839603974e-17
258,2.5900000000000004e-10,1.5443463805945124e-16,7.680856955303863e-17
259,2.6000000000000003e-10,1.554519539257046e-16,7.56083676236227e-17
260,2.6100000000000003e-10,1.522773275526934e-16,7.580156889970967e-17
261,2.62e-10,1.6145449520507533e-16,7.857642911069726e-17
262,2.63e-10,1.6059780861116596e-16,7.967512022637896e-17
263,2.64e-10,1.5030562765415591e-16,7.62171120319227e-17
264,2.65e-10,1.5307142965224958e-16,7.971013321579264e-17
265,2.66e-10,1.593662985315215e-16,7.632504032313608e-17
266,2.67e-10,1.570212806631409e-16,8.017026097690893e-17
267,2.68e-10,1.5869884190613585e-16,8.085270935473067e-17
268,2.69e-10,1.598805251508677e-16,7.878095955943458e-17
269,2.7e-10,1.6362162312834584e-16,7.777145274870841e-17
270,2.7100000000000005e-10,1.5317605475755265e-16,7.906741955002259e-17
271,2.7200000000000004e-10,1.5082287762148061e-16,7.879506547528202e-17
272,2.7300000000000004e-10,1.5320215610797445e-16,8.272420242630899e-17
273,2.7400000000000004e-10,1.586857714004331e-16,8.004314475288395e-17
274,2.7500000000000003e-10,1.6544163791300545e-16,8.023393372260883e-17
275,2.7600000000000003e-10,1.5790227706106743e-16,8.071576373621443e-17
276,2.77e-10,1.6483102459212338e-16,7.811810417693952e-17
277,2.78e-10,1.5492709481372067e-16,7.797962869206655e-17
278,2.79e-10,1.521549273946373e-16,7.857976845162513e-17
279,2.8e-10,1.631902368652235e-16,7.848949780050585e-17
280,2.81e-10,1.658082843843734e-16,8.025717305868387e-17
