,Time,PET,BUT
762,7.630000000000001e-10,7.063566114213664e-16,2.290268822860698e-15
763,7.64e-10,7.340315565330969e-16,2.3437415322347406e-15
764,7.65e-10,6.808283739627362e-16,2.3236786312718242e-15
765,7.66e-10,6.63117067334842e-16,2.3304188825851626e-15
766,7.67e-10,6.968652075236658e-16,2.370700515539119e-15
767,7.68e-10,6.870942807387942e-16,2.342943461372173e-15
768,7.69e-10,7.118073262141082e-16,2.314966929679569e-15
769,7.7e-10,7.270768011641863e-16,2.365164169902172e-15
770,7.71e-10,6.860481020663254e-16,2.392865611473053e-15
771,7.72e-10,7.270721537278108e-16,2.387706909017215e-15
772,7.73e-10,6.930779246944705e-16,2.3541426708120482e-15
773,7.74e-10,6.969111382349978e-16,2.323260575891773e-15
774,7.75e-10,6.94267622946764e-16,2.3373610346405397e-15
775,7.76e-10,7.070686252321214e-16,2.3529591087661774e-15
776,7.770000000000001e-10,6.854511522876177e-16,2.3496060960986326e-15
777,7.780000000000001e-10,7.364021818956453e-16,2.2800068352358622e-15
778,7.790000000000001e-10,7.307133640487391e-16,2.3514813779560936e-15
779,7.800000000000001e-10,6.908186360408731e-16,2.3391235910426597e-15
780,7.810000000000001e-10,6.590080021819952e-16,2.3523982375896174e-15
781,7.820000000000001e-10,6.775927757141181e-16,2.3653416418525712e-15
782,7.830000000000001e-10,6.718769673531665e-16,2.2835731074612117e-15
783,7.840000000000001e-10,6.873731497297662e-16,2.3466544710192327e-15
784,7.850000000000001e-10,6.831645098744412e-16,2.31978867262051e-15
785,7.860000000000001e-10,6.653520628195766e-16,2.340173238796678e-15
786,7.870000000000001e-10,6.885749961726438e-16,2.2725581329633323e-15
787,7.880000000000001e-10,7.115869264416283e-16,2.321946712093212e-15
788,7.890000000000001e-10,6.750069237789641e-16,2.2255243948475754e-15
789,7.900000000000001e-10,6.707589110505566e-16,2.338524766566246e-15
790,7.910000000000001e-10,6.753388159749654e-16,2.3404067520933634e-15
791,7.920000000000001e-10,6.489344948436724e-16,2.416790045540496e-15
792,7.930000000000001e-10,6.590803851278385e-16,2.3835973327798938e-15
793,7.94e-10,6.897094837325598e-16,2.385880476672629e-15
794,7.95e-10,6.811322129909443e-16,2.29333245409472e-15
795,7.96e-10,7.017264706603542e-16,2.2763019558644345e-15
796,7.97e-10,6.866049616141004e-16,2.3454942293002873e-15
797,7.98e-10,6.818884380963602e-16,2.3204374929783037e-15
798,7.99e-10,7.037004233022218e-16,2.3282564544126784e-15
799,8e-10,6.721279524110671e-16,2.2597616295630357e-15
800,8.01e-10,6.51418181276511e-16,2.3426080993005446e-15
801,8.02e-10,6.680348039490406e-16,2.2765439184893422e-15
802,8.03e-10,6.493688009990529e-16,2.3494650198716105e-15
803,8.04e-10,6.9689515132552715e-16,2.381895076680767e-15
804,8.05e-10,6.808685984939952e-16,2.3297975003958805e-15
805,8.060000000000001e-10,6.860293783891271e-16,2.324230471113351e-15
806,8.070000000000001e-10,6.742729483095348e-16,2.381863876742693e-15
807,8.080000000000001e-10,6.57231993672612e-16,2.3708715540020053e-15
808,8.090000000000001e-10,6.905875404418467e-16,2.428116514778532e-15
809,8.100000000000001e-10,7.094516598862724e-16,2.3560011720987153e-15
810,8.110000000000001e-10,6.919650429740622e-16,2.3177604707244397e-15
811,8.120000000000001e-10,6.678061311506544e-16,2.333118753086241e-15
812,8.130000000000001e-10,6.583414116334449e-16,2.3474800072942576e-15
813,8.140000000000001e-10,6.838089492317241e-16,2.4323003176096194e-15
814,8.150000000000001e-10,6.82012012381781e-16,2.3883691728706506e-15
815,8.160000000000001e-10,6.864252097898535e-16,2.3740341622590192e-15
816,8.170000000000001e-10,6.863465084151945e-16,2.385882497450751e-15
817,8.180000000000001e-10,7.219345155180102e-16,2.3675188630452016e-15
818,8.190000000000001e-10,6.584787679619819e-16,2.2972943320942588e-15
819,8.200000000000001e-10,7.148519101525269e-16,2.3859334692297734e-15
820,8.210000000000001e-10,6.678132576732727e-16,2.2631895997306463e-15
821,8.220000000000001e-10,6.844322137193083e-16,2.3524487531498017e-15
822,8.230000000000001e-10,7.055007990483478e-16,2.3351932428226333e-15
823,8.24e-10,6.687025177915172e-16,2.353751738884544e-15
824,8.25e-10,6.641889182398157e-16,2.283182029900685e-15
