,Time,DMA
400,4.01e-10,1.655472896843817e-15
401,4.02e-10,1.6587152568977634e-15
402,4.0300000000000006e-10,1.587830091277066e-15
403,4.0400000000000005e-10,1.6422838145941218e-15
404,4.0500000000000005e-10,1.6612635412271994e-15
405,4.0600000000000005e-10,1.6415128759916204e-15
406,4.0700000000000004e-10,1.6575731237030305e-15
407,4.0800000000000004e-10,1.7043907125293286e-15
408,4.0900000000000004e-10,1.7181992903016714e-15
409,4.1000000000000003e-10,1.7353321624964668e-15
410,4.1100000000000003e-10,1.6526276904635006e-15
411,4.12e-10,1.6962601095324298e-15
412,4.13e-10,1.7211143327154755e-15
413,4.14e-10,1.6609492884154216e-15
414,4.15e-10,1.6472279070051704e-15
415,4.16e-10,1.727553483463161e-15
416,4.17e-10,1.7010575587749058e-15
417,4.1800000000000006e-10,1.6794561601497179e-15
418,4.1900000000000005e-10,1.71265753798512e-15
419,4.2000000000000005e-10,1.674259615172025e-15
420,4.2100000000000005e-10,1.7085734451068881e-15
421,4.2200000000000004e-10,1.7984903067769337e-15
422,4.2300000000000004e-10,1.7588960633088816e-15
423,4.2400000000000004e-10,1.7537733409449918e-15
424,4.2500000000000003e-10,1.7125862645688835e-15
425,4.2600000000000003e-10,1.7141499168343198e-15
426,4.27e-10,1.755779591357873e-15
427,4.28e-10,1.7692563209877832e-15
428,4.29e-10,1.7527100960020808e-15
429,4.3e-10,1.7055413360387459e-15
430,4.31e-10,1.699787631331259e-15
431,4.3200000000000006e-10,1.6850808799486738e-15
432,4.3300000000000006e-10,1.6757533820744841e-15
433,4.3400000000000005e-10,1.707232889069012e-15
434,4.3500000000000005e-10,1.7178767658732874e-15
435,4.3600000000000005e-10,1.7429109923951927e-15
436,4.3700000000000004e-10,1.7207017614641543e-15
437,4.3800000000000004e-10,1.6620476088353172e-15
438,4.3900000000000003e-10,1.68195309943381e-15
439,4.4000000000000003e-10,1.6765623296121159e-15
440,4.4100000000000003e-10,1.7307945130081858e-15
441,4.42e-10,1.7550857017142254e-15
442,4.43e-10,1.7297521191456806e-15
443,4.44e-10,1.703874226450976e-15
444,4.45e-10,1.7068853180160604e-15
445,4.46e-10,1.665597986780655e-15
446,4.4700000000000006e-10,1.745748721070936e-15
447,4.4800000000000006e-10,1.7063677610417918e-15
448,4.4900000000000005e-10,1.6885015851947558e-15
449,4.5000000000000005e-10,1.6942305670823345e-15
450,4.5100000000000005e-10,1.7131385514509469e-15
451,4.5200000000000004e-10,1.6874853952352227e-15
452,4.5300000000000004e-10,1.6857200861624306e-15
453,4.5400000000000003e-10,1.724551689804981e-15
454,4.5500000000000003e-10,1.7379598432470298e-15
455,4.5600000000000003e-10,1.7407626894756442e-15
456,4.57e-10,1.7684273250864904e-15
457,4.58e-10,1.7574454614640949e-15
458,4.59e-10,1.7433816522016359e-15
459,4.6e-10,1.7081686889956682e-15
460,4.61e-10,1.7391055607804832e-15
461,4.6200000000000006e-10,1.6778931913753912e-15
462,4.6300000000000006e-10,1.6016066111069062e-15
463,4.6400000000000005e-10,1.6580245670295583e-15
464,4.6500000000000005e-10,1.6825334396972726e-15
465,4.66e-10,1.7035491552144406e-15
466,4.67e-10,1.6631551851806295e-15
467,4.68e-10,1.7302366799189906e-15
468,4.69e-10,1.7352375029124792e-15
469,4.7e-10,1.7102517435204076e-15
470,4.71e-10,1.7027883003688677e-15
471,4.72e-10,1.6946531195161915e-15
472,4.73e-10,1.6854220981112005e-15
473,4.74e-10,1.7614941633890662e-15
474,4.75e-10,1.7813746199274236e-15
475,4.76e-10,1.7149774526519054e-15
476,4.77e-10,1.7662949005203157e-15
477,4.78e-10,1.739363969343958e-15
478,4.79e-10,1.6939773411809584e-15
479,4.8e-10,1.7704200665938133e-15
480,4.81e-10,1.7285955332596186e-15
481,4.82e-10,1.804149773422771e-15
